Name,Website link,Storybook/GitHub,Maintainer team,Description,Framework,Design asset,Platform,Availability,Date added to index,Image,Search aliases
Card,https://pages.github.ibm.com/ibmcloud/pal/components/card/usage,https://github.ibm.com/ibmcloud/pal/tree/master/patterns/src/Components/Card,Cloud PAL,A card is a flexible-sized container that groups related blocks of content and information into one understandable unit.,React,Sketch,Web,IBM Internal,,,"Tile, module, container"
Enhanced data table,https://pages.github.ibm.com/ibmcloud/pal/components/enhanced-data-table/code,https://github.ibm.com/ibmcloud/pal/tree/master/patterns/src/Components/EnhancedDataTable,Cloud PAL,EnhancedDataTable is meant to be used in place of the carbon DataTable. It is intended to make working with the DataTable much simpler and provide a more consistent experience.,React,Sketch,Web,IBM Internal,,,
Error boundary,https://pages.github.ibm.com/ibmcloud/pal/components/error-boundary/code,https://github.ibm.com/ibmcloud/pal/tree/master/patterns/src/Components/ErrorBoundary,Cloud PAL,ErrorBoundary is a component used to prevent JS code from crashing React. The component will catch any JS errors thrown from any React components rendered as children and show a generic error message in it’s place.,React,n/a,Web,IBM Internal,,,
L2 (world level nav),https://pages.github.ibm.com/ibmcloud/pal/components/world-level-nav/usage,https://github.ibm.com/ibmcloud/pal/tree/master/patterns/src/Components/WorldLevelNav,Cloud PAL,"Level 2 nav, also known as L2 or World-level, is a navigation component that allows a user to explore the content and offering within a world.",React,Sketch,Web,IBM Internal,,,navigation
L3 (world level nav),https://pages.github.ibm.com/ibmcloud/pal/components/resource-level-nav/usage,https://github.ibm.com/ibmcloud/pal/tree/master/patterns/src/Components/WorldLevelNav,Cloud PAL,"The L3 nav, or resource level navigation component, is the suggested navigation for a resource details page. ",React,Sketch,Web,IBM Internal,,,navigation
Order summary v2,https://pages.github.ibm.com/ibmcloud/pal/components/order-summary-v2/usage,https://github.ibm.com/ibmcloud/pal/tree/master/patterns/src/Components/OrderSummaryV2,Cloud PAL,The order summary component summarizes the estimated financial costs and details of a service or offering on IBM Cloud.,React,Sketch,Web,IBM Internal,,,"catalog, marketplace"
Page header,https://pages.github.ibm.com/ibmcloud/pal/components/page-header/usage,https://github.ibm.com/ibmcloud/pal/tree/master/patterns/src/Components/PageHeader,Cloud PAL,All pages in IBM Cloud should have a page header. The purpose of a page header is to: provide context for the entire page and tell the user exactly where they are in the platform; act as wayfinding and/or navigation; and surface metadata or functionality that affects the entire experience below the header.,React,Sketch,Web,IBM Internal,,,navigation
Side panel,https://pages.github.ibm.com/ibmcloud/pal/components/side-panel/usage,https://github.ibm.com/ibmcloud/pal/tree/master/patterns/src/Components/SidePanel,Cloud PAL,"The side panel is used for keeping users in-context to a page while performing a task like editing, viewing details, or creating something new on a page.",React,Sketch,Web,IBM Internal,,,
Cards,https://pages.github.ibm.com/cdai-design/pal/components/card/usage,n/a,CD&AI,A card is a flexible-sized container that groups related blocks of content and information into one understandable unit.,n/a,n/a,Web,IBM Internal,,,"Tile, module, container, card"
File uploader,https://pages.github.ibm.com/cdai-design/pal/components/file-uploader/usage,n/a,CD&AI,Uploading is transferring a resource from a local system to a remote system.,n/a,Sketch,Web,IBM Internal,,,"input, form"
Headers,https://pages.github.ibm.com/cdai-design/pal/components/headers,n/a,CD&AI,All products within the IBM Cloud Pak for Integration should use the recommended header. Exception is if a product requires a version of the header that needs to allow for customization by customers,n/a,Sketch,Web,IBM Internal,,,navigation
Modified tabs,https://pages.github.ibm.com/cdai-design/pal/components/modified-tabs,n/a,CD&AI,Modified tabs are used to quickly add or remove tabs. They allow users to view multiple pages of their product in one browser window.,n/a,n/a,Web,IBM Internal,,,
Page header,https://pages.github.ibm.com/cdai-design/pal/components/page-header/usage,n/a,CD&AI,The page header allows consistency in the spacing and location of items inside page headers within a product and across products. This avoids users experiencing jarring movement and jumping of headers when navigating among product content.,n/a,Sketch,Web,IBM Internal,,,navigation
Slide-in panel,https://pages.github.ibm.com/cdai-design/pal/components/slide-in-panel,n/a,CD&AI,Opens as the result of a user action. This component is an empty framework of which the content should be determined as required by products.,n/a,Sketch,Web,IBM Internal,,,side panel
